,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,B Kumar,14,14,52.2,0,369,26,5/19,14.19,7.05,12.0,0,1
1,(Sunrisers Hyderabad),,,,,,,,,,,,
2,JD Unadkat,12,12,45.5,3,322,24,5/30,13.41,7.02,11.4,0,1
3,(Rising Pune Supergiant),,,,,,,,,,,,
4,JJ Bumrah,16,16,59.2,2,440,20,3/7,22.00,7.41,17.8,0,0
5,(Mumbai Indians),,,,,,,,,,,,
6,MJ McClenaghan,14,14,54.0,0,507,19,3/24,26.68,9.38,17.0,0,0
7,(Mumbai Indians),,,,,,,,,,,,
8,Imran Tahir,12,12,47.0,0,369,18,3/18,20.50,7.85,15.6,0,0
9,(Rising Pune Supergiant),,,,,,,,,,,,
10,Rashid Khan,14,14,54.0,0,358,17,3/19,21.05,6.62,19.0,0,0
11,(Sunrisers Hyderabad),,,,,,,,,,,,
12,CR Woakes,13,13,44.0,0,386,17,3/6,22.70,8.77,15.5,0,0
13,(Kolkata Knight Riders),,,,,,,,,,,,
14,Sandeep Sharma,13,13,48.0,0,398,17,4/20,23.41,8.29,16.9,1,0
15,(Kings XI Punjab),,,,,,,,,,,,
16,UT Yadav,14,14,48.3,0,410,17,4/33,24.11,8.45,17.1,1,0
17,(Kolkata Knight Riders),,,,,,,,,,,,
18,P Negi,12,12,32.1,0,197,16,3/10,12.31,6.12,12.0,0,0
19,(Royal Challengers Bangalore),,,,,,,,,,,,
20,S Kaul,10,10,35.4,0,300,16,4/29,18.75,8.41,13.3,1,0
21,(Sunrisers Hyderabad),,,,,,,,,,,,
22,NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.20,8.04,11.3,0,0
23,(Kolkata Knight Riders),,,,,,,,,,,,
24,AR Patel,14,14,48.0,0,362,15,3/11,24.13,7.54,19.2,0,0
25,(Kings XI Punjab),,,,,,,,,,,,
26,PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4,0,0
27,(Delhi Daredevils),,,,,,,,,,,,
28,YS Chahal,13,13,43.3,0,333,14,3/16,23.78,7.65,18.6,0,0
29,(Royal Challengers Bangalore),,,,,,,,,,,,
30,KV Sharma,9,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0
31,(Mumbai Indians),,,,,,,,,,,,
32,MM Sharma,14,14,45.4,0,410,13,2/24,31.53,8.97,21.0,0,0
33,(Kings XI Punjab),,,,,,,,,,,,
34,AJ Tye,6,6,21.0,0,141,12,5/17,11.75,6.71,10.5,0,1
35,(Gujarat Lions),,,,,,,,,,,,
36,CH Morris,9,9,31.0,0,240,12,4/26,20.00,7.74,15.5,1,0
37,(Delhi Daredevils),,,,,,,,,,,,
38,BA Stokes,12,12,44.0,1,316,12,3/18,26.33,7.18,22.0,0,0
39,(Rising Pune Supergiant),,,,,,,,,,,,
40,Kuldeep Yadav,12,11,41.0,0,340,12,2/25,28.33,8.29,20.5,0,0
41,(Kolkata Knight Riders),,,,,,,,,,,,
42,DT Christian,13,13,40.0,0,298,11,2/10,27.09,7.45,21.8,0,0
43,(Rising Pune Supergiant),,,,,,,,,,,,
44,SN Thakur,12,12,38.1,0,315,11,3/19,28.63,8.25,20.8,0,0
45,(Rising Pune Supergiant),,,,,,,,,,,,
46,SL Malinga,12,12,44.5,0,382,11,2/5,34.72,8.52,24.4,0,0
47,(Mumbai Indians),,,,,,,,,,,,
48,Basil Thampi,12,12,44.4,0,424,11,3/29,38.54,9.49,24.3,0,0
49,(Gujarat Lions),,,,,,,,,,,,
50,Mohammed Siraj,6,6,23.0,0,212,10,4/32,21.20,9.21,13.8,1,0
51,(Sunrisers Hyderabad),,,,,,,,,,,,
52,KH Pandya,13,13,40.0,0,273,10,3/14,27.30,6.82,24.0,0,0
53,(Mumbai Indians),,,,,,,,,,,,
54,Z Khan,11,11,40.1,0,313,10,3/20,31.30,7.79,24.1,0,0
55,(Delhi Daredevils),,,,,,,,,,,,
56,A Mishra,14,14,38.5,1,343,10,3/11,34.30,8.83,23.3,0,0
57,(Delhi Daredevils),,,,,,,,,,,,
58,SP Narine,16,15,59.0,0,412,10,2/29,41.20,6.98,35.4,0,0
59,(Kolkata Knight Riders),,,,,,,,,,,,
60,S Badree,7,7,25.0,1,188,9,4/9,20.88,7.52,16.6,1,0
61,(Royal Challengers Bangalore),,,,,,,,,,,,
62,Washington Sundar,11,10,30.0,0,185,8,3/16,23.12,6.16,22.5,0,0
63,(Rising Pune Supergiant),,,,,,,,,,,,
64,A Nehra,6,6,21.1,0,197,8,3/42,24.62,9.30,15.8,0,0
65,(Sunrisers Hyderabad),,,,,,,,,,,,
66,Harbhajan Singh,11,11,41.0,0,266,8,3/22,33.25,6.48,30.7,0,0
67,(Mumbai Indians),,,,,,,,,,,,
68,GJ Maxwell,14,8,19.0,0,125,7,2/15,17.85,6.57,16.2,0,0
69,(Kings XI Punjab),,,,,,,,,,,,
70,MG Johnson,5,5,20.0,1,141,7,3/26,20.14,7.05,17.1,0,0
71,(Mumbai Indians),,,,,,,,,,,,
72,VR Aaron,6,6,20.0,0,163,7,2/3,23.28,8.15,17.1,0,0
73,(Kings XI Punjab),,,,,,,,,,,,
74,A Zampa,6,6,19.5,0,163,7,2/22,23.28,8.21,17.0,0,0
75,(Rising Pune Supergiant),,,,,,,,,,,,
76,S Nadeem,7,7,17.5,0,119,6,2/13,19.83,6.67,17.8,0,0
77,(Delhi Daredevils),,,,,,,,,,,,
78,P Kumar,6,6,16.3,0,151,6,2/22,25.16,9.15,16.5,0,0
79,(Gujarat Lions),,,,,,,,,,,,
80,PP Chawla,6,6,20.0,0,179,6,2/34,29.83,8.95,20.0,0,0
81,(Kolkata Knight Riders),,,,,,,,,,,,
82,K Rabada,6,6,21.2,0,188,6,2/20,31.33,8.81,21.3,0,0
83,(Delhi Daredevils),,,,,,,,,,,,
84,HH Pandya,17,13,26.0,0,213,6,2/22,35.50,8.19,26.0,0,0
85,(Mumbai Indians),,,,,,,,,,,,
86,JP Faulkner,8,8,26.2,0,258,6,2/34,43.00,9.79,26.3,0,0
87,(Gujarat Lions),,,,,,,,,,,,
